Teff,feh,logg,u_g,g_r,r_i,i_z,sigma_phot
8298.612,-1.79348,3.045424,1.2448300000000003,-0.19213999999999842,-0.14013000000000275,-0.07751999999999981,0.008689243550849475
8470.398,-1.931449,3.214369,1.2448300000000003,-0.19213999999999842,-0.14013000000000275,-0.07751999999999981,0.008689243550849475
7445.969,-2.123874,3.943838,0.9966799999999978,0.04445000000000121,-0.03143000000000029,-0.032219999999998805,0.011308501256473636
6222.807,-1.368174,3.993844,0.9434299999999993,0.2664400000000029,0.0928299999999993,0.02577999999999747,0.006832661272527448
5684.977,-1.130648,4.084651,1.1295400000000022,0.3512599999999999,0.1263799999999975,0.050850000000000506,0.027400871639434863
7830.662,-0.7948847,4.174486,1.2055500000000006,-0.031150000000000233,-0.09684000000000026,-0.1027799999999992,0.004568530326077655
6162.836,-0.5554767,4.059964,1.0771599999999992,0.3121900000000011,0.09804999999999708,0.03856000000000037,0.008459062653212519
5477.72,-0.6351243,3.89368,1.3613099999999996,0.45534999999999926,0.18017000000000039,0.05716999999999928,0.00777849462076906
5173.124,-1.19729,4.473945,1.364139999999999,0.5812400000000011,0.22125999999999735,0.1316500000000005,0.008321691344389277
5216.974,-1.101388,4.465921,1.364139999999999,0.5812400000000011,0.22125999999999735,0.1316500000000005,0.008321691344389277
5433.85,-1.534171,4.474751,1.1416900000000005,0.48678999999999917,0.1945900000000016,0.0794499999999978,0.012463231327856737
7301.645,-1.813357,4.197497,1.038499999999999,0.04351000000000127,-0.055050000000001376,-0.021059999999998524,0.03192638850526066
5112.393,-1.505378,4.237501,1.2075299999999984,0.5492400000000011,0.24073999999999884,0.06661000000000072,0.03842967824112791
5360.277,-1.133314,3.550326,1.3282199999999982,0.49553000000000225,0.21252999999999744,0.10386000000000095,0.006779046612150222
5505.135,-0.5434792,4.427103,1.4556900000000006,0.5134299999999996,0.15756999999999977,0.030989999999999185,0.020752340593078383
5132.374,-1.157032,4.294316,1.3968699999999998,0.5965399999999974,0.24778000000000233,0.11946999999999974,0.016682031414870492
6062.026,-2.751745,3.167668,0.9069800000000008,0.2831600000000023,0.125,0.08427999999999969,0.031878349181084016
5425.643,-0.1749073,4.29579,1.6555299999999988,0.5525900000000021,0.17886999999999986,0.09627000000000052,0.024127240631120768
5079.91,-1.127531,4.618361,1.4858399999999996,0.6094400000000029,0.3096800000000002,0.07945999999999742,0.011312105754887725
4190.661,-1.101925,4.370218,2.6217900000000007,1.1778800000000018,0.5110699999999966,0.3149300000000004,0.03340469062228554
5399.482,-1.645974,2.394732,1.0343799999999987,0.4725500000000018,0.1910199999999982,0.08718000000000004,0.010140658317283804
4843.608,-0.2328478,4.453856,2.1672900000000013,0.8253099999999982,0.2979699999999994,0.17752000000000123,0.01553697343812612
5189.215,-0.8102638,4.507606,1.491299999999999,0.5877499999999998,0.2284700000000015,0.13633000000000095,0.016117996485472505
4040.27,-1.807914,4.378482,2.484720000000003,1.2480699999999985,0.5099100000000014,0.2986499999999985,0.021243747063203117
4168.031,-2.155011,4.493512,2.484720000000003,1.2480699999999985,0.5099100000000014,0.2986499999999985,0.021243747063203117
5992.969,-1.591182,3.962087,0.905859999999997,0.2830200000000005,0.10505000000000209,0.3334399999999995,0.016773204384816217
6035.404,-1.063654,4.252285,0.9011100000000027,0.39039,0.20279999999999987,0.024509999999999366,0.04118413095010213
4083.222,-1.199167,4.473073,2.549220000000002,1.2744799999999987,0.5813400000000009,0.314309999999999,0.01497329634725244
4950.775,-0.7483815,4.760897,1.8662899999999993,0.7165900000000001,0.261219999999998,0.13414000000000215,0.011548441898167058
8167.376,-2.097628,3.14357,1.23921,-0.17214999999999847,-0.10543000000000191,-0.04556999999999789,0.02687615537652527
5937.446,-1.804981,4.171931,0.8762100000000004,0.33521,0.1357299999999988,0.00817999999999941,0.01218426073855994
6597.31,-2.419591,4.223681,0.8979199999999992,0.19361000000000317,0.05444999999999922,0.020199999999999108,0.013995156155169636
