Teff,feh,logg,u_g,g_r,r_i,i_z,sigma_phot
5877.82,-0.5632817,4.12254,1.2667900000000003,0.55518,0.21438999999999808,0.07596000000000203,0.010202394986978155
5928.165,-0.6106955,4.269946,1.194779999999998,0.5083699999999993,0.20862000000000336,0.08457999999999899,0.013434440576126251
5357.49,-0.06718278,4.325746,1.8691599999999973,0.7308900000000023,0.2722699999999989,0.1340299999999992,0.012030361966173866
4779.286,-0.7091722,4.56623,2.198730000000001,0.9874799999999979,0.3752999999999993,0.25462000000000273,0.02676165906893215
6116.443,-0.5993749,4.108758,1.3127700000000004,0.5309900000000027,0.23054999999999737,0.11015000000000086,0.023939251546153787
5101.366,0.1070953,4.38221,2.207989999999999,0.8801900000000025,0.3386099999999992,0.22431999999999874,0.01841718457199989
5864.456,-0.2989674,4.365169,1.4573800000000006,0.6564799999999984,0.26816000000000173,0.16733999999999938,0.03481828342147833
6378.852,-1.347336,4.080508,1.0759399999999992,0.50291,0.20090000000000074,0.11973000000000056,0.012571151310057186
6359.496,-1.232809,3.677382,1.0759399999999992,0.50291,0.20090000000000074,0.11973000000000056,0.012571151310057186
6356.208,-1.298995,4.214726,1.0759399999999992,0.50291,0.20090000000000074,0.11973000000000056,0.012571151310057186
6373.425,-1.188854,3.653323,1.0759399999999992,0.50291,0.20090000000000074,0.11973000000000056,0.012571151310057186
6238.373,-0.4690526,3.968956,1.2966699999999989,0.5426000000000002,0.23632000000000097,0.12631999999999977,0.008172118793657753
6229.229,-0.5138177,3.85915,1.2966699999999989,0.5426000000000002,0.23632000000000097,0.12631999999999977,0.008172118793657753
6241.587,-0.5077323,3.9929,1.2966699999999989,0.5426000000000002,0.23632000000000097,0.12631999999999977,0.008172118793657753
5152.695,-1.136157,4.535394,2.8332000000000015,1.482759999999999,1.2605699999999995,0.67929,0.031106705667267757
4372.338,-1.047265,3.869037,2.8332000000000015,1.482759999999999,1.2605699999999995,0.67929,0.031106705667267757
4222.23,-0.8580343,3.870068,2.5214999999999996,1.5188500000000005,1.1256899999999987,0.6609599999999993,0.14331091823413827
5967.11,-0.0990255,4.068825,1.6132900000000028,0.7339099999999981,0.2891699999999986,0.17885000000000062,0.011450095007365725
8850.541,-0.6443282,4.207667,1.4326499999999989,0.18583000000000283,0.01320999999999728,0.051400000000001,0.01037574208955462
8515.0,-0.8930997,4.05787,1.4381699999999995,0.13335000000000008,0.02984000000000009,0.03182999999999936,0.00669414059024368
8320.682,-1.284442,4.282637,1.4463699999999982,0.1522199999999998,0.0442600000000013,0.04811000000000121,0.009706449529231735
5993.52,-0.4011067,3.995611,1.4627800000000022,0.6747199999999989,0.3386200000000006,0.13898999999999972,0.006860869029768149
8758.605,-1.149409,4.224464,1.3774300000000004,0.07224000000000075,0.002520000000000522,0.02797999999999945,0.00830090357761586
8652.015,-0.847717,3.725874,1.0706399999999991,0.00885000000000069,-0.05958000000000041,-0.03016000000000041,0.005648912868828944
9012.459,-0.9919007,4.3,1.2871799999999993,0.0738500000000002,0.010920000000002261,-0.07282999999999973,0.008880973678756317
8925.748,-1.027551,3.747418,1.383770000000002,0.0786099999999994,-0.026619999999999422,0.032979999999998455,0.005778488581168868
8433.607,-0.5118685,4.138942,1.4786000000000001,0.1598600000000001,0.029450000000000642,0.05509999999999948,0.007153522571352679
